GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PopulationXBusiness,org.ulpgc.proyecto.servicios,IneApiClient,64,86,8,10,16,20,10,6,3,4
PopulationXBusiness,org.ulpgc.proyecto.servicios,IneOperacionesResponse,38,0,0,0,16,0,11,0,11,0
PopulationXBusiness,org.ulpgc.proyecto.servicios,IneDatabaseService,634,0,54,0,162,0,46,0,19,0
PopulationXBusiness,org.ulpgc.proyecto.servicios,IneApiClient.IneFunction,0,129,0,0,0,6,0,1,0,1
PopulationXBusiness,org.ulpgc.proyecto.servicios,BormeApiClient,3,0,0,0,1,0,1,0,1,0
PopulationXBusiness,org.ulpgc.proyecto.servicios,IneApiClient.IneLanguage,0,15,0,0,0,2,0,1,0,1
PopulationXBusiness,org.ulpgc.proyecto.servicios,BormeDataResponse,3,0,0,0,1,0,1,0,1,0
PopulationXBusiness,org.ulpgc.proyecto.servicios,IneDataResponse,3,0,0,0,1,0,1,0,1,0
PopulationXBusiness,org.ulpgc.proyecto.servicios,IneTablaResponse,66,0,0,0,28,0,19,0,19,0
PopulationXBusiness,org.ulpgc.proyecto,Main,26,0,0,0,11,0,3,0,3,0
